VENUE_ID;VENUE_STATUS;INTEGRATION_SOURCE;SMARTSPOT_ENABLED;ADDITIONAL_PHOTOS;REVIEWS;REV_30_DAYS;VENUE_LIFECYCLE
213;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$4.668 ;ESTABLISHED
214;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$9.024 ;ESTABLISHED
215;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$9 ;ESTABLISHED
216;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$62 ;EARLY
217;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$75 ;ESTABLISHED
218;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$210 ;ESTABLISHED
219;ACTIVE;MANUAL;FALSE;FALSE;FALSE;R$12 ;ESTABLISHED
220;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$385 ;ESTABLISHED
221;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$331 ;ESTABLISHED
222;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$69 ;ESTABLISHED
223;ACTIVE;MANUAL;FALSE;FALSE;FALSE;R$24 ;ESTABLISHED
224;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$2.864 ;ESTABLISHED
225;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$16 ;ESTABLISHED
226;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$597 ;ESTABLISHED
227;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$5 ;ESTABLISHED
228;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$323 ;EARLY
229;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$76 ;EARLY
230;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$59 ;ESTABLISHED
231;ACTIVE;INTEGRATED;FALSE;TRUE;TRUE;R$7.232 ;ESTABLISHED
232;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$30 ;ESTABLISHED
233;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$9.716 ;ESTABLISHED
234;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$28 ;ESTABLISHED
235;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$585 ;ESTABLISHED
236;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$45 ;ESTABLISHED
237;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$906 ;ESTABLISHED
238;ACTIVE;INTEGRATED;TRUE;FALSE;FALSE;R$231 ;ESTABLISHED
239;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$90 ;ESTABLISHED
240;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$729 ;ESTABLISHED
241;CHURNED;MANUAL;FALSE;FALSE;FALSE;R$26 ;ESTABLISHED
242;CHURNED;MANUAL;FALSE;TRUE;FALSE;R$83 ;ESTABLISHED
243;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$43 ;ESTABLISHED
244;ACTIVE;MANUAL;FALSE;TRUE;FALSE;R$1.492 ;ESTABLISHED
245;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$55 ;ESTABLISHED
246;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$749 ;ESTABLISHED
247;CHURNED;MANUAL;FALSE;FALSE;FALSE;R$28 ;ESTABLISHED
248;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$57 ;ESTABLISHED
249;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$26 ;ESTABLISHED
250;ACTIVE;MANUAL;FALSE;FALSE;FALSE;R$90 ;ESTABLISHED
251;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$190 ;ESTABLISHED
252;ACTIVE;INTEGRATED;TRUE;TRUE;FALSE;R$4.847 ;ESTABLISHED
253;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$6.203 ;ESTABLISHED
254;ACTIVE;MANUAL;FALSE;FALSE;FALSE;R$55 ;ESTABLISHED
255;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$9 ;ESTABLISHED
256;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$8.865 ;ESTABLISHED
257;ACTIVE;MANUAL;FALSE;TRUE;TRUE;R$66 ;ESTABLISHED
258;ACTIVE;INTEGRATED;TRUE;TRUE;FALSE;R$328 ;EARLY
259;ACTIVE;MANUAL;FALSE;FALSE;FALSE;R$86 ;ESTABLISHED
260;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$37 ;ESTABLISHED
261;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$192 ;ESTABLISHED
262;ACTIVE;INTEGRATED;FALSE;TRUE;TRUE;R$34 ;ESTABLISHED
263;ACTIVE;INTEGRATED;TRUE;TRUE;TRUE;R$9.252 ;ESTABLISHED
